Player,ETV,Nation,Squad,Age,Position
Aaron Ramsdale,€18.7M,ENG,Southampton,26-335,GK
Aaron Wan-Bissaka,€29.7M,ENG,West Ham,27-139,DF
Abdoulaye Doucouré,€5.8M,MLI,Everton,32-103,MF
Adam Armstrong,€17.7M,ENG,Southampton,28-063,"FW,MF"
Adam Smith,€1.5M,ENG,Bournemouth,33-350,DF
Adam Wharton,€49.3M,ENG,Crystal Palace,20-316,MF
Adama Traoré,€8.2M,ESP,Fulham,29-079,"FW,MF"
Alejandro Garnacho,€59.2M,ARG,Manchester Utd,20-287,"MF,FW"
Alex Iwobi,€31.2M,NGA,Fulham,28-346,"FW,MF"
Alexander Isak,€119.4M,SWE,Newcastle Utd,25-205,FW
Alexis Mac Allister,€117M,ARG,Liverpool,26-111,MF
Alisson,€24.5M,BRA,Liverpool,32-194,GK
Alphonse Areola,€11.6M,FRA,West Ham,32-046,GK
Amad Diallo,€48.6M,CIV,Manchester Utd,22-277,"FW,MF"
Amadou Onana,€64.4M,BEL,Aston Villa,23-241,MF
Andreas Pereira,€18.9M,BRA,Fulham,29-103,MF
Andrew Robertson,€20.6M,SCO,Liverpool,31-034,DF
André,€29.4M,BRA,Wolves,23-272,MF
André Onana,€34.2M,CMR,Manchester Utd,29-012,GK
Anthony Elanga,€45.6M,SWE,Nott'ham Forest,22-352,FW
Anthony Gordon,€52.4M,ENG,Newcastle Utd,24-049,FW
Antoine Semenyo,€45.4M,GHA,Bournemouth,25-097,FW
Antonee Robinson,€42.7M,USA,Fulham,27-249,DF
Archie Gray,€72.5M,ENG,Tottenham,19-033,"DF,MF"
Arijanet Muric,€10.4M,KVX,Ipswich Town,26-158,GK
Ashley Young,€1.3M,ENG,Everton,39-279,"DF,FW"
Axel Tuanzebe,€4.3M,COD,Ipswich Town,27-151,DF
Bart Verbruggen,€32M,NED,Brighton,22-239,GK
Ben Davies,€5.1M,WAL,Tottenham,31-355,DF
Ben Johnson,€12.6M,ENG,Ipswich Town,25-080,"DF,FW"
