Player,Nation,Squad,Age,Position,ETV
Aaron Ramsdale,ENG,Southampton,26-335,GK,
Aaron Wan-Bissaka,ENG,West Ham,27-139,DF,€29.7M
Abdoulaye Doucouré,MLI,Everton,32-103,MF,€5.8M
Adam Armstrong,ENG,Southampton,28-063,"FW,MF",
Adam Smith,ENG,Bournemouth,33-350,DF,€1.5M
Adam Wharton,ENG,Crystal Palace,20-316,MF,€49.3M
Adama Traoré,ESP,Fulham,29-079,"FW,MF",€8.2M
Alejandro Garnacho,ARG,Manchester Utd,20-287,"MF,FW",€59.2M
Alex Iwobi,NGA,Fulham,28-346,"FW,MF",€31.2M
Alexander Isak,SWE,Newcastle Utd,25-205,FW,€119.4M
Alexis Mac Allister,ARG,Liverpool,26-111,MF,€117M
Alisson,BRA,Liverpool,32-194,GK,€24.5M
Alphonse Areola,FRA,West Ham,32-046,GK,
Amad Diallo,CIV,Manchester Utd,22-277,"FW,MF",€48.6M
Amadou Onana,BEL,Aston Villa,23-241,MF,€64.4M
Andreas Pereira,BRA,Fulham,29-103,MF,
Andrew Robertson,SCO,Liverpool,31-034,DF,
André,BRA,Wolves,23-272,MF,€29.4M
André Onana,CMR,Manchester Utd,29-012,GK,€34.2M
Anthony Elanga,SWE,Nott'ham Forest,22-352,FW,€45.6M
Anthony Gordon,ENG,Newcastle Utd,24-049,FW,€52.4M
Antoine Semenyo,GHA,Bournemouth,25-097,FW,€45.4M
Antonee Robinson,USA,Fulham,27-249,DF,€42.7M
Archie Gray,ENG,Tottenham,19-033,"DF,MF",€72.5M
Arijanet Muric,KVX,Ipswich Town,26-158,GK,
Ashley Young,ENG,Everton,39-279,"DF,FW",€1.3M
Axel Tuanzebe,COD,Ipswich Town,27-151,DF,€4.3M
Bart Verbruggen,NED,Brighton,22-239,GK,€32M
Ben Davies,WAL,Tottenham,31-355,DF,€5.1M
Ben Johnson,ENG,Ipswich Town,25-080,"DF,FW",€12.6M
Bernardo Silva,POR,Manchester City,30-247,"MF,FW",€51.1M
Bernd Leno,GER,Fulham,33-041,GK,€16M
Beto,GNB,Everton,27-073,FW,€24.4M
Bilal El Khannouss,MAR,Leicester City,20-339,MF,€40.6M
Boubacar Kamara,FRA,Aston Villa,25-142,MF,€45.2M
Boubakary Soumaré,FRA,Leicester City,26-046,MF,€15.3M
