Player,Nation,Squad,Position,Age,Matches,Playing_Time_Starts,Minutes,Performance_Gls,Performance_Ast,Yellow_Cards,Red_Cards,Expected_xG,Expected_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_xG,Per_90_Minutes_xAG,Goals_Against_Per90,Save_Percentage,CleanSheet_Percentage,Penalty_Save_Percentage,Shots_On_Target_Percentage,Shots_On_Target_Per90,Goals_PerShot,Shooting_Distance,Total_Passes_Completed,Total_Passes_Completed_Percentage,Total_Passing_Distance,Short_Passe_Completed_Percentage,Medium_Passes_Completed_Percentage,Long_Passes_Completed_Percentage,Keypasses,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crossed_Into_Penalty_Area,Progressive_Passes,Shot_Creating_Actions,Shot_Creating_Actions_Per90,Goal_Creating_Actions,Goal_Creating_Actions_Per90,Tackles,Tackles_Won,Defensive_Actions_Attempted,Defensive_Actions_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Touches,Touches_Defensive_Penalty_Area,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Percentage,Take_Ons_Tackled_Percentage,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Progressive_Carries,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessions,Receiving,Progressive_Receiving,Fouls,Fouled,Offsides,Crosses,Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Wonpct
Aaron Ramsdale,ENG,Southampton,GK,26-335,24,24,2160.0,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.37,67.5,8.3,28.6,N/a,0.00,N/a,N/a,655,65.5,18107,100.0,95.8,39.4,0,30,1,0,0,2,0.08,0,0.00,0,0,2,2,0,0,0,2,1076,783,1064,14,0,0,0,N/a,N/a,668,3391,1960,0,0,0,2,0,606,0,1,3,0,0,17,4,0,100.0
Aaron Wan-Bissaka,ENG,West Ham,DF,27-139,31,30,2704.0,2,2,1,0,1.0,2.7,93,118,131,0.07,0.07,0.03,0.09,N/a,N/a,N/a,N/a,30.8,0.13,0.15,15.5,1234,80.9,17639,89.7,82.1,47.9,27,85,27,11,118,75,2.50,5,0.17,61,43,26,7,31,9,22,57,1900,134,610,808,509,38,95,53.7,34.7,887,5707,3193,93,54,12,28,20,1090,131,22,23,4,61,153,22,28,44.0
Abdoulaye Doucouré,MLI,Everton,MF,32-103,28,27,2245.0,3,1,5,1,3.6,2.3,36,70,87,0.12,0.04,0.14,0.09,N/a,N/a,N/a,N/a,30.8,0.32,0.12,13.9,637,79.7,9630,85.1,82.7,73.1,26,41,13,0,70,50,2.00,2,0.08,42,25,33,21,29,6,23,7,1023,30,210,465,362,50,36,50.0,50.0,540,2680,1261,36,22,6,32,32,658,87,44,5,8,22,131,28,38,42.4
Adam Armstrong,ENG,Southampton,"FW,MF",28-063,20,15,1248.0,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,1324,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Smith,ENG,Bournemouth,DF,33-350,19,14,1146.0,0,0,5,0,0.6,0.2,10,33,19,0.00,0.00,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,10.2,344,75.4,5606,86.3,79.8,33.9,5,33,5,2,33,14,1.10,1,0.08,18,9,21,11,10,3,7,12,562,31,181,258,127,3,12,33.3,41.7,241,935,436,10,13,0,10,5,256,19,13,9,0,23,38,9,12,42.9
Adam Wharton,ENG,Crystal Palace,MF,20-316,16,13,1088.0,0,1,2,0,0.3,2.8,11,100,10,0.00,0.08,0.02,0.23,N/a,N/a,N/a,N/a,50.0,0.41,0.00,25.0,469,77.1,8908,83.3,81.8,67.4,23,68,17,5,100,52,4.31,5,0.41,33,14,39,23,10,2,8,16,729,24,172,386,174,8,9,22.2,77.8,358,1627,829,11,16,2,13,12,453,10,10,18,0,29,81,7,15,31.8
Adama Traoré,ESP,Fulham,"FW,MF",29-079,29,16,1482.0,2,5,2,0,3.8,4.1,80,56,135,0.12,0.30,0.23,0.25,N/a,N/a,N/a,N/a,31.4,0.67,0.06,14.3,355,71.9,5579,80.4,74.1,56.8,32,31,26,14,56,66,4.01,8,0.49,15,10,13,8,6,0,6,1,676,2,71,242,383,82,83,48.2,38.6,461,3815,2097,80,39,32,30,18,520,135,19,29,1,82,72,23,22,51.1
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20-287,31,20,1876.0,5,1,2,0,6.2,2.8,122,47,249,0.24,0.05,0.30,0.13,N/a,N/a,N/a,N/a,37.5,1.30,0.07,16.9,539,79.4,7606,89.3,82.1,59.1,26,19,21,3,47,64,3.07,4,0.19,27,17,29,19,16,0,16,10,967,13,113,313,557,141,76,28.9,61.8,702,5356,2758,122,62,58,51,41,736,249,9,36,9,42,100,3,22,12.0
Alex Iwobi,NGA,Fulham,"FW,MF",28-346,31,29,2463.0,8,5,1,0,4.1,6.2,119,171,202,0.29,0.18,0.15,0.23,N/a,N/a,N/a,N/a,43.9,0.91,0.14,18.3,935,74.6,16156,86.1,77.7,55.8,51,94,68,13,171,109,3.98,15,0.55,36,20,27,10,22,1,21,10,1533,31,211,615,731,98,80,50.0,45.0,1088,6599,3621,119,90,34,52,37,1192,202,15,16,4,98,119,4,27,12.9
Alexander Isak,SWE,Newcastle Utd,FW,25-205,28,28,2265.0,20,6,1,0,16.6,4.0,74,73,180,0.79,0.24,0.66,0.16,N/a,N/a,N/a,N/a,44.0,1.31,0.24,14.4,425,73.4,6068,82.4,77.2,62.9,37,32,23,1,73,80,3.18,14,0.56,12,5,12,7,17,2,15,3,864,19,52,322,504,156,83,49.4,49.4,524,3280,1672,74,39,40,57,48,610,180,24,12,19,14,50,23,44,34.3
