Player,Nation,Squad,Position,Age,Matches,Playing_Time_Starts,Minutes,Performance_Gls,Performance_Ast,Yellow_Cards,Red_Cards,Expected_xG,Expected_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_xG,Per_90_Minutes_xAG,Goals_Against_Per90,Save_Percentage,CleanSheet_Percentage,Penalty_Save_Percentage,Shots_On_Target_Percentage,Shots_On_Target_Per90,Goals_PerShot,Shooting_Distance,Total_Passes_Completed,Total_Passes_Completed_Percentage,Total_Passing_Distance,Short_Passe_Completed_Percentage,Medium_Passes_Completed_Percentage,Long_Passes_Completed_Percentage,Keypasses,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crossed_Into_Penalty_Area,Progressive_Passes,Shot_Creating_Actions,Shot_Creating_Actions_Per90,Goal_Creating_Actions,Goal_Creating_Actions_Per90,Tackles,Tackles_Won,Defensive_Actions_Attempted,Defensive_Actions_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Touches,Touches_Defensive_Penalty_Area,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Percentage,Take_Ons_Tackled_Percentage,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Progressive_Carries,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessions,Receiving,Progressive_Receiving,Fouls,Fouled,Offsides,Crosses,Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Wonpct
Aaron Cresswell,ENG,West Ham,DF,35-115,14,7,589.0,0,0,2,0,0.1,1.1,4,24,2,0.00,0.00,0.02,0.17,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.8,355,80.7,6769,90.8,85.9,54.9,7,40,4,1,24,12,1.83,0,0.00,8,4,8,2,7,4,3,6,495,33,196,236,68,1,1,100.0,0.0,200,773,388,4,7,0,3,0,312,2,3,1,0,27,21,7,6,53.8
Aaron Ramsdale,ENG,Southampton,GK,26-330,23,23,2070.0,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.35,67.3,8.7,0.0,N/a,0.00,N/a,N/a,620,64.7,17090,100.0,95.6,38.5,0,27,1,0,0,2,0.09,0,0.00,0,0,2,2,0,0,0,2,1029,745,1018,13,0,0,0,N/a,N/a,645,3258,1886,0,0,0,1,0,588,0,1,3,0,0,17,4,0,100.0
Aaron Wan-Bissaka,ENG,West Ham,DF,27-134,30,29,2614.0,2,2,1,0,1.0,2.5,91,116,126,0.07,0.07,0.03,0.09,N/a,N/a,N/a,N/a,30.8,0.14,0.15,15.5,1203,80.7,17255,89.4,82.3,47.4,25,84,25,11,116,73,2.51,5,0.17,60,42,25,7,30,8,22,52,1848,127,588,791,496,37,92,52.2,35.9,862,5511,3102,91,52,11,27,18,1061,126,21,21,4,60,151,21,28,42.9
Abdoulaye Doucouré,MLI,Everton,MF,32-098,27,26,2155.0,2,1,4,1,3.2,2.0,35,67,79,0.08,0.04,0.13,0.09,N/a,N/a,N/a,N/a,29.2,0.29,0.08,13.8,602,79.2,9120,84.6,82.7,71.4,24,39,13,0,67,47,1.96,2,0.08,41,24,32,21,29,6,23,7,970,30,204,442,338,46,33,54.5,45.5,505,2546,1211,35,21,5,30,31,619,79,42,5,8,21,124,27,35,43.5
Abdukodir Khusanov,UZB,Manchester City,DF,21-039,6,6,503.0,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.9,360,91.1,6126,94.7,97.0,26.1,2,23,0,0,25,5,0.89,0,0.00,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,1155,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,GHA,Leicester City,FW,21-032,11,6,579.0,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,2150,72.8,76.3,48.5,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1869,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
Adam Armstrong,ENG,Southampton,"FW,MF",28-058,20,15,1248.0,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,1324,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Lallana,ENG,Southampton,MF,36-334,14,5,361.0,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.1,221,85.0,2891,89.1,91.0,44.4,4,21,9,3,24,9,2.24,2,0.50,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,831,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
Adam Smith,ENG,Bournemouth,DF,33-345,19,14,1146.0,0,0,5,0,0.6,0.2,10,33,19,0.00,0.00,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,10.2,344,75.4,5606,86.3,79.8,33.9,5,33,5,2,33,14,1.10,1,0.08,18,9,21,11,10,3,7,12,562,31,181,258,127,3,12,33.3,41.7,241,935,436,10,13,0,10,5,256,19,13,9,0,23,38,9,12,42.9
Adam Webster,ENG,Brighton,DF,30-095,11,8,617.0,0,0,0,0,0.0,0.5,7,40,2,0.00,0.00,0.00,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,85.6,7934,95.5,91.8,50.6,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1927,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0
