Team,Matches,Playing_Time_Starts,Minutes,Performance_Gls,Performance_Ast,Yellow_Cards,Red_Cards,Expected_xG,Expected_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_xG,Per_90_Minutes_xAG,Shots_On_Target_Per90,Total_Passes_Completed,Total_Passes_Completed_Percentage,Total_Passing_Distance,Short_Passe_Completed_Percentage,Medium_Passes_Completed_Percentage,Keypasses,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crossed_Into_Penalty_Area,Progressive_Passes,Shot_Creating_Actions,Shot_Creating_Actions_Per90,Goal_Creating_Actions,Goal_Creating_Actions_Per90,Tackles,Tackles_Won,Defensive_Actions_Attempted,Defensive_Actions_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Touches,Touches_Defensive_Penalty_Area,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Progressive_Carries,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessions,Receiving,Progressive_Receiving,Fouls,Fouled,Offsides,Crosses,Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Lost_mean,Aerial_Duels_Won_mean,Blocks_mean,Carries_mean,Carries_Into_Final_Third_mean,Carries_Into_Penalty_Area_mean,Crossed_Into_Penalty_Area_mean,Crosses_mean,Defensive_Actions_Attempted_mean,Defensive_Actions_Lost_mean,Dispossessions_mean,Expected_xAG_mean,Expected_xG_mean,Fouled_mean,Fouls_mean,Goal_Creating_Actions_mean,Goal_Creating_Actions_Per90_mean,Interceptions_mean,Keypasses_mean,Matches_mean,Medium_Passes_Completed_Percentage_mean,Minutes_mean,Miscontrols_mean,Offsides_mean,Passes_Blocked_mean,Passes_Into_Final_Third_mean,Passes_Into_Penalty_Area_mean,Per_90_Minutes_Ast_mean,Per_90_Minutes_Gls_mean,Per_90_Minutes_xAG_mean,Per_90_Minutes_xG_mean,Performance_Ast_mean,Performance_Gls_mean,Playing_Time_Starts_mean,Progression_PrgC_mean,Progression_PrgP_mean,Progression_PrgR_mean,Progressive_Carries_mean,Progressive_Carrying_Distance_mean,Progressive_Passes_mean,Progressive_Receiving_mean,Receiving_mean,Recoveries_mean,Red_Cards_mean,Short_Passe_Completed_Percentage_mean,Shot_Creating_Actions_mean,Shot_Creating_Actions_Per90_mean,Shots_Blocked_mean,Shots_On_Target_Per90_mean,Tackles_mean,Tackles_Won_mean,Take_Ons_Attempted_mean,Total_Carrying_Distance_mean,Total_Passes_Completed_mean,Total_Passes_Completed_Percentage_mean,Total_Passing_Distance_mean,Touches_mean,Touches_Att_3rd_mean,Touches_Att_Pen_mean,Touches_Def_3rd_mean,Touches_Defensive_Penalty_Area_mean,Touches_Mid_3rd_mean,Yellow_Cards_mean,Aerial_Duels_Lost_std,Aerial_Duels_Won_std,Blocks_std,Carries_std,Carries_Into_Final_Third_std,Carries_Into_Penalty_Area_std,Crossed_Into_Penalty_Area_std,Crosses_std,Defensive_Actions_Attempted_std,Defensive_Actions_Lost_std,Dispossessions_std,Expected_xAG_std,Expected_xG_std,Fouled_std,Fouls_std,Goal_Creating_Actions_std,Goal_Creating_Actions_Per90_std,Interceptions_std,Keypasses_std,Matches_std,Medium_Passes_Completed_Percentage_std,Minutes_std,Miscontrols_std,Offsides_std,Passes_Blocked_std,Passes_Into_Final_Third_std,Passes_Into_Penalty_Area_std,Per_90_Minutes_Ast_std,Per_90_Minutes_Gls_std,Per_90_Minutes_xAG_std,Per_90_Minutes_xG_std,Performance_Ast_std,Performance_Gls_std,Playing_Time_Starts_std,Progression_PrgC_std,Progression_PrgP_std,Progression_PrgR_std,Progressive_Carries_std,Progressive_Carrying_Distance_std,Progressive_Passes_std,Progressive_Receiving_std,Receiving_std,Recoveries_std,Red_Cards_std,Short_Passe_Completed_Percentage_std,Shot_Creating_Actions_std,Shot_Creating_Actions_Per90_std,Shots_Blocked_std,Shots_On_Target_Per90_std,Tackles_std,Tackles_Won_std,Take_Ons_Attempted_std,Total_Carrying_Distance_std,Total_Passes_Completed_std,Total_Passes_Completed_Percentage_std,Total_Passing_Distance_std,Touches_std,Touches_Att_3rd_std,Touches_Att_Pen_std,Touches_Def_3rd_std,Touches_Defensive_Penalty_Area_std,Touches_Mid_3rd_std,Yellow_Cards_std
all,20.0,13.5,1187.5,0.0,1.0,2.0,0.0,0.7,0.7,13.0,34.5,21.0,0.0,0.04,0.07,0.07,0.23,412.0,80.0,6640.0,89.6,85.7,7.0,26.5,6.0,1.0,34.5,18.0,1.8,2.0,0.15,16.0,10.0,15.5,7.0,11.0,2.0,7.0,6.5,661.0,30.0,143.0,255.5,121.5,18.0,12.0,360.5,1900.5,931.5,13.0,11.0,2.0,11.0,7.0,433.5,21.0,10.0,9.5,1.0,8.0,42.0,9.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,19.051652892561982,14.026859504132231,1257.2995867768595,1.8243801652892562,1.3450413223140496,2.700413223140496,0.08264462809917356,1.8582644628099176,1.3731404958677684,23.927685950413224,47.13636363636363,46.52066115702479,0.12008264462809917,0.08911157024793388,0.13392561983471074,0.09733471074380165,0.4069421487603305,505.2623966942149,79.30826446280992,8679.731404958678,88.71053719008265,84.01549586776859,12.454545454545455,39.52892561983471,10.524793388429751,2.46900826446281,47.13636363636363,29.132231404958677,2.080578512396694,3.1632231404958677,0.2110330578512397,22.785123966942148,13.584710743801653,20.712809917355372,10.169421487603305,14.03305785123967,4.737603305785124,9.295454545454545,10.367768595041323,764.9256198347107,86.38429752066116,253.68801652892563,325.3305785123967,193.47520661157026,31.59710743801653,23.545454545454547,428.85743801652893,2302.3822314049585,1188.1446280991736,23.927685950413224,16.03305785123967,7.526859504132231,17.371900826446282,12.231404958677686,500.0413223140496,46.52066115702479,14.185950413223141,13.756198347107437,2.190082644628099,22.171487603305785,53.53512396694215,16.58677685950413,16.56611570247934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,8.836414011532096,9.782801787872415,825.7024584034455,3.2634725735323564,2.030501421603455,2.3824582870112536,0.29731098132950967,2.874092508552917,1.7139367989574346,28.17420185418977,45.13134730225512,58.72761973419987,0.19335116302921812,0.12407269270456706,0.1597781933202764,0.10410280967940284,0.4870485633533112,415.06638366419674,8.231186836248298,7501.787582288486,6.740400160806966,10.168372776879766,14.02113164138958,40.51798657522851,12.937235207827356,3.8669741231997885,45.13134730225512,29.356153032889722,1.4347476084061552,3.8437670693524817,0.22298317844563795,20.844571853626494,12.833019559459345,18.81296635464759,9.577201560306762,12.548495663832288,6.725261487113431,8.585310532288148,10.87959105062054,563.2699989921578,158.85342620120477,278.54108940987413,284.3358725542676,192.12751708401427,37.642329922146544,28.860986153268055,323.95421539357915,1782.0712600089469,987.2258975676367,28.17420185418977,16.74615441003088,13.186247527794933,17.837839711465197,13.70104366856502,379.236863586611,58.72761973419987,12.711422331390656,13.426067118524918,3.6561619890330537,32.597132014762245,42.43500456714951,19.353064574646478,16.970250690059935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsenal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.545454545454547,18.5,12.363636363636363,510.04545454545456,18.772727272727273,10.5,2.772727272727273,29.5,19.5,9.681818181818182,14.227272727272727,1.7272727272727273,2.2863636363636366,15.181818181818182,15.818181818181818,4.318181818181818,0.28136363636363637,8.5,15.318181818181818,20.545454545454547,83.65454545454546,1384.7727272727273,17.818181818181817,3.1818181818181817,8.363636363636363,50.40909090909091,15.590909090909092,0.13136363636363638,0.15545454545454546,0.13545454545454547,0.15636363636363637,1.9545454545454546,2.4545454545454546,15.5,31.181818181818183,67.54545454545455,66.63636363636364,31.181818181818183,1436.9545454545455,67.54545454545455,66.63636363636364,611.0454545454545,53.18181818181818,0.22727272727272727,90.46363636363637,34.90909090909091,2.485,4.0,0.4063636363636363,22.863636363636363,13.409090909090908,27.818181818181817,2716.409090909091,617.2727272727273,81.32727272727273,10111.136363636364,878.6363636363636,280.0,46.90909090909091,224.54545454545453,67.77272727272727,380.95454545454544,2.8181818181818183,17.396571289788476,19.217427606459815,10.435951844900918,369.91523833140957,16.177385209229342,13.315762231638256,3.36553707851211,39.666166463432816,14.073785154372242,6.79906410671886,12.216038708665003,1.985706499720012,2.4002570208695913,11.379331152979839,10.808446272360836,5.065159835172445,0.3106873402258666,8.192621535201514,15.44078200473502,7.657721112752321,9.268622298236094,841.3609684438535,14.036131483175378,3.73702662090705,6.722708174151634,48.22828560572657,15.601157133241875,0.17274521437918067,0.1653776996749669,0.1703141990760794,0.1420444415548295,2.458750606599731,2.5397276330773053,9.752899446782358,29.378703598154654,55.664579891933556,67.68241345363721,29.378703598154654,985.9010129619033,55.664579891933556,67.68241345363721,445.4617163041519,36.29329777250151,0.5284134548067253,4.996622235694206,30.041097391199486,1.5365104248635237,6.590035768383312,0.41585878389007025,19.960187647141268,12.128907189454027,27.261758255906077,1845.8119818373627,508.8195659065703,6.445462177686151,8980.094342995006,621.4816049420814,213.1965335195718,42.68925267994621,298.99191377387535,150.40356246356535,352.52672675074314,1.867934016280417
Aston Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.392857142857142,11.071428571428571,9.928571428571429,363.5,13.357142857142858,6.214285714285714,1.75,17.5,16.0,7.035714285714286,11.357142857142858,1.25,1.6642857142857144,14.678571428571429,12.5,2.9642857142857144,0.23785714285714285,7.214285714285714,10.285714285714286,17.142857142857142,86.22500000000001,1093.9285714285713,14.964285714285714,1.7142857142857142,6.642857142857143,33.035714285714285,9.214285714285714,0.09571428571428572,0.16999999999999998,0.09428571428571429,0.1789285714285714,1.2857142857142858,1.6071428571428572,12.178571428571429,21.142857142857142,38.5,38.142857142857146,21.142857142857142,1053.0714285714287,38.5,38.142857142857146,427.92857142857144,41.464285714285715,0.07142857142857142,89.90714285714286,24.535714285714285,2.0739285714285716,3.2857142857142856,0.46214285714285713,18.857142857142858,10.785714285714286,22.142857142857142,2011.9642857142858,435.92857142857144,81.175,7441.785714285715,641.3214285714286,155.39285714285714,27.535714285714285,217.17857142857142,76.67857142857143,275.10714285714283,2.25,12.876447881807701,10.735640095214084,8.467491523374127,281.61998298205833,11.966664455940018,9.711990080449596,3.5132026119471953,32.48304400988534,17.174485813641205,7.325663377151854,13.848958473244505,1.7748239349298847,2.7746490316213417,16.01863167834759,12.732286169856186,3.282751136844678,0.2473617405498083,7.598036504924066,13.407728956359303,9.27647077572662,8.214198412234488,840.1861755133856,18.939439826784238,2.4624158997805514,5.87659693482474,39.552573679295314,11.196418550580733,0.14232015477446072,0.29329545209945246,0.12541571085434444,0.22399304363726028,1.921749643715771,3.0103437199378598,10.505919218437702,21.245852380788193,41.0749089852692,46.78771149660931,21.245852380788193,838.5330633986346,41.0749089852692,46.78771149660931,342.40877980386614,32.59457139856397,0.262265264156481,5.623951989378646,26.006384035117428,1.4533851654511405,4.035556254807296,0.673214275188413,18.58257703635772,11.176553311076894,27.179396180187236,1482.8981504483627,377.666414491573,7.228525027560887,7003.198292405501,509.9429200861913,153.2766415210708,34.339785955519574,266.8869997488087,168.10447667853788,263.90154439160665,2.083888814834561
Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.304347826086957,20.347826086956523,16.565217391304348,407.0,17.869565217391305,8.608695652173912,3.5217391304347827,29.652173913043477,23.304347826086957,12.26086956521739,12.695652173913043,1.6782608695652175,2.526086956521739,13.869565217391305,18.434782608695652,3.739130434782609,0.2408695652173913,13.08695652173913,16.26086956521739,19.782608695652176,81.37826086956522,1323.6521739130435,21.217391304347824,2.5217391304347827,11.826086956521738,44.08695652173913,12.08695652173913,0.10521739130434782,0.1408695652173913,0.12913043478260872,0.1882608695652174,1.608695652173913,2.1739130434782608,14.782608695652174,26.695652173913043,52.65217391304348,51.869565217391305,26.695652173913043,1256.7826086956522,52.65217391304348,51.869565217391305,439.9130434782609,66.6086956521739,0.043478260869565216,86.70434782608696,37.391304347826086,2.6182608695652174,4.739130434782608,0.5599999999999999,25.956521739130434,15.08695652173913,24.695652173913043,2350.304347826087,444.4347826086956,73.81304347826087,8110.565217391304,755.5652173913044,214.65217391304347,36.69565217391305,227.2173913043478,78.34782608695652,323.30434782608694,3.3043478260869565,18.464793976667885,18.775246507647374,15.225057357576752,303.4928485004368,18.091445361189827,15.248663519483758,4.851143869021477,37.11359551878551,19.749418363377178,9.923422207101503,15.413791883801798,1.7549816165157683,3.356028143682018,12.414450333184263,16.784262344547436,3.92216766718178,0.2134332564075043,14.472271429053752,15.592006668057799,8.893084758492924,10.816231763660461,888.2861234726963,19.306043617429822,4.620798486855543,11.479832806483818,43.626423439635616,12.555017263947658,0.1220606989544506,0.19028478760861817,0.1507831990724751,0.2083627120260385,2.0167284586402126,3.33919116380876,10.479228466304752,31.382442663213475,47.650821509327976,65.51842513080236,31.382442663213475,1113.8837444039798,47.650821509327976,65.51842513080236,325.9444895632995,53.88602376602167,0.20851441405707472,7.3394623447416985,33.99564026919118,1.9174359113952937,6.503267649311158,0.6681657388294124,21.720284321070533,13.734207603572319,29.354316366218843,1952.5353316505887,360.59847048621276,6.801223442602481,6973.018557437772,556.5582405272733,216.85135434537392,45.03981549959051,246.21626792900054,130.2217021068483,287.9277742109214,2.851391727316451
Brentford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.05,25.9,20.05,466.5,15.15,8.7,3.65,27.7,23.45,10.9,12.35,1.735,2.415,14.05,12.25,4.35,0.2365,11.95,13.4,21.7,82.46000000000001,1525.0,21.25,3.0,11.9,45.75,13.35,0.077,0.11499999999999999,0.093,0.126,1.6,2.55,17.05,24.6,56.05,55.1,24.6,1287.5,56.05,55.1,543.35,67.15,0.05,86.985,32.05,1.845,8.15,0.328,25.3,15.1,25.6,2532.35,551.2,76.97999999999999,10054.05,883.25,218.45,40.3,344.4,137.5,328.3,2.1,22.04654167891191,28.179686599430187,17.328027190531227,318.2927318647014,17.803828683445417,16.31305579815395,4.9233599994526624,40.48404494040636,18.91108001591715,9.250320051362094,12.70422639994473,2.1034495477667154,3.6761356999178534,12.462469975680458,9.61837605288631,5.060424363315996,0.22191214477806304,11.118855488242529,15.782735404298752,9.74463415100034,9.96580469194007,971.561033649077,23.103599628401497,4.304220694791763,9.14733208157036,36.39819978197302,16.909278051132944,0.09814597077286143,0.18423383311204786,0.08429896671652437,0.1615516863682365,2.3708759207472134,4.61661758159985,11.550689202494869,29.91109633916026,49.53624404094653,70.98176192738379,29.91109633916026,1018.4638329108052,49.53624404094653,70.98176192738379,362.6161193328283,50.48321763871529,0.22360679774997896,7.6869866110131015,32.30198788081984,1.1705127081753532,11.855600497566318,0.37234109998339177,20.903537852163733,12.199654870010399,30.879050980781198,1834.4006413970462,398.5718716142739,7.865621399482687,8391.955555768869,592.375047894846,211.23309026062333,41.52120574255749,383.33775130939995,263.6948994576876,246.68349634383944,1.4104870379448817
Brighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.11111111111111,16.0,13.148148148148149,409.6296296296296,16.48148148148148,7.481481481481482,2.5185185185185186,19.925925925925927,20.85185185185185,10.925925925925926,11.11111111111111,1.1888888888888889,1.7037037037037037,12.88888888888889,13.555555555555555,3.074074074074074,0.2388888888888889,9.592592592592593,10.814814814814815,17.814814814814813,82.22592592592592,1131.8148148148148,17.444444444444443,1.2592592592592593,9.407407407407407,35.111111111111114,10.0,0.08074074074074075,0.12814814814814815,0.0962962962962963,0.12703703703703703,1.1481481481481481,1.7407407407407407,12.62962962962963,24.14814814814815,45.888888888888886,45.370370370370374,24.14814814814815,1244.0,45.888888888888886,45.370370370370374,467.3333333333333,49.25925925925926,0.07407407407407407,89.6148148148148,27.296296296296298,2.414814814814815,3.740740740740741,0.4618518518518519,20.59259259259259,12.296296296296296,25.11111111111111,2276.3703703703704,472.8888888888889,79.87037037037037,8083.777777777777,709.6296296296297,178.74074074074073,31.14814814814815,230.22222222222223,79.55555555555556,308.7037037037037,2.4074074074074074,13.588267941169898,16.538998202384008,11.213671956430629,345.12128839540406,16.85542681469126,13.785082155304336,3.7659442617139436,25.055209693066484,16.933589068665825,8.494006601607285,11.537008455512376,1.3039388061778092,2.3034224505624206,14.129438263463472,11.712364713391024,2.827419670707197,0.1920202980723519,9.00537984189818,9.190450884716563,8.831922157879845,9.352070630145233,792.2896244447791,18.02206624654542,1.8100699644912284,9.332570176369748,43.87248422183171,9.856665062476566,0.09871972470374929,0.14814330476413284,0.07217223779842155,0.11518596384892678,1.5616486284521365,2.535783790112917,9.043264166252515,28.782611876595677,45.32135965552712,60.00073598788868,28.782611876595677,1344.513981390244,45.32135965552712,60.00073598788868,381.83655383704934,39.32858873310727,0.26688025634181184,6.573238500728873,21.499221479312318,1.186949452524834,5.012235740915138,0.6574486644892865,17.343274598217427,10.283724313447234,30.428141495526713,2073.950951651834,435.2986007269857,7.848018604169846,8415.57295153242,554.9530228315344,166.2476356321387,38.91875532014758,295.8007818855497,178.81131725784914,288.8874967093345,2.39003152955159
Chelsea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.56,13.08,11.76,482.24,16.16,10.08,2.04,20.56,17.92,9.0,10.12,1.796,2.376,14.88,14.36,3.72,0.2316,9.0,14.88,17.96,88.68,1220.72,14.96,2.08,8.28,49.8,11.08,0.1096,0.12,0.1392,0.15680000000000002,1.6,2.12,13.64,27.8,51.36,50.16,27.8,1352.04,51.36,50.16,595.48,50.96,0.04,91.09200000000001,34.76,2.1612,3.48,0.42160000000000003,18.92,11.96,25.84,2556.32,600.24,84.176,10360.12,833.32,210.24,36.72,252.08,78.44,377.76,3.52,12.990637654351946,15.080119362922826,12.09090567327361,369.2186885844215,17.12376516229224,18.2206842169369,3.8131351929875237,33.894542333538006,19.83456578803781,10.44030650891055,10.588200980336556,2.187365233943949,3.915916240166534,15.240625533968961,14.508273501695506,4.1182520563948,0.21576762191456497,9.97914491994847,18.886326623600826,9.680220383166215,7.437069315261221,882.0469809860849,16.868313490091417,3.7518884134081953,8.932711421138228,51.89332005823742,14.413304039439858,0.11024518130059018,0.1535143858622594,0.14361174510928185,0.1885850824782632,1.9578900207451215,3.431714828867146,10.094883192324055,34.495168743849725,53.59717032331714,65.55702352405372,34.495168743849725,1019.6282198265537,53.59717032331714,65.55702352405372,474.997905258539,44.41140994534325,0.2,5.796185527281427,40.904645212982835,1.5677247845205484,5.148786264742399,0.5130601004430831,21.24641146170336,13.198737313344283,30.470860396997875,1916.8383412971127,520.3204365260572,6.654464666673044,9320.589087784814,672.8815348930301,226.39167387516704,45.163148694483205,295.80806277043905,160.82679088593002,370.9872279921956,3.0016662039607267
Crystal Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.238095238095237,20.047619047619047,18.238095238095237,387.04761904761904,13.19047619047619,4.9523809523809526,2.4285714285714284,22.61904761904762,25.80952380952381,12.761904761904763,13.333333333333334,1.657142857142857,2.1619047619047618,15.761904761904763,15.238095238095237,3.238095238095238,0.18190476190476193,12.095238095238095,14.333333333333334,20.571428571428573,79.66666666666667,1401.2857142857142,18.333333333333332,2.857142857142857,13.142857142857142,34.666666666666664,10.0,0.060476190476190475,0.08714285714285715,0.10380952380952382,0.1376190476190476,1.380952380952381,1.6666666666666667,15.619047619047619,18.857142857142858,44.904761904761905,44.666666666666664,18.857142857142858,946.1428571428571,44.904761904761905,44.666666666666664,450.8095238095238,64.66666666666667,0.14285714285714285,84.43809523809524,33.095238095238095,2.295714285714286,5.095238095238095,0.5266666666666667,30.38095238095238,18.047619047619047,18.80952380952381,1977.7619047619048,454.9047619047619,74.01904761904763,8181.142857142857,776.0952380952381,171.23809523809524,29.285714285714285,287.0952380952381,96.14285714285714,325.1904761904762,2.9047619047619047,23.27639310955364,20.078536277518317,15.575316246884883,274.3544197184504,12.225461331250644,7.017664785925518,3.370036032024414,28.582295552450276,19.40777949075846,8.938147245960776,12.916397846665042,1.884296003437737,3.040801899248978,13.553245965099142,14.024638183941722,2.964873722517739,0.16639167790544837,12.328441758408733,14.691267247359342,8.806653328997506,10.929882585523659,929.4298866970626,18.254679765291236,4.725311781096718,11.203953383898535,28.721652691538022,10.430723848324238,0.08668772637900886,0.1396475154502527,0.0771671037733172,0.1375465289240249,2.0609752661347125,3.1675437381878933,10.99307141101244,19.799711397608082,35.58778549152049,58.0494042461534,19.799711397608082,701.6499330659333,35.58778549152049,58.0494042461534,309.5596257666072,48.55649630413353,0.35856858280031806,6.418526013850547,31.25044761584186,1.5586871765321335,6.114775236300693,0.47920072342738934,26.57343822405409,16.800226755839308,27.106491930198285,1456.7156518951083,346.02888676552783,7.0884849613735526,6745.881782878456,543.704046771946,164.62773301054256,31.931399682981105,324.3391596403223,190.54849401511566,237.96294229304257,2.84437623926164
